threshold,precision,recall,f1,flagged_customers,flag_rate,true_positive,false_positive,false_negative,true_negative,expected_retained_customers,expected_retained_value,intervention_cost,missed_churn_cost,expected_net_value
0.1,0.34164358264081257,0.9893048128342246,0.5078929306794784,1083,0.7686302342086586,370,713,4,322,111.0,66600.0,54150,1600,10850.0
0.15,0.3672032193158954,0.9759358288770054,0.533625730994152,994,0.7054648687012065,365,629,9,406,109.5,65700.0,49700,3600,12400.0
0.2,0.3883495145631068,0.9625668449197861,0.5534204458109147,927,0.6579134137686302,360,567,14,468,108.0,64800.0,46350,5600,12850.0
0.25,0.406720741599073,0.9385026737967914,0.5675020210185934,863,0.6124911284599006,351,512,23,523,105.3,63180.0,43150,9200,10830.0
0.3,0.42945544554455445,0.9278074866310161,0.5871404399323181,808,0.5734563520227112,347,461,27,574,104.1,62460.0,40400,10800,11260.0
0.35,0.4470899470899471,0.9037433155080213,0.5982300884955752,756,0.5365507452093683,338,418,36,617,101.39999999999999,60839.99999999999,37800,14400,8639.999999999993
0.4,0.4668587896253602,0.8663101604278075,0.6067415730337079,694,0.49254790631653655,324,370,50,665,97.2,58320.0,34700,20000,3620.0
0.45,0.48307692307692307,0.839572192513369,0.61328125,650,0.46132008516678497,314,336,60,699,94.2,56520.0,32500,24000,20.0
0.5,0.504302925989673,0.7834224598930482,0.6136125654450262,581,0.41234918381831087,293,288,81,747,87.89999999999999,52739.99999999999,29050,32400,-8710.000000000007
0.55,0.525233644859813,0.7513368983957219,0.6182618261826183,535,0.3797019162526615,281,254,93,781,84.3,50580.0,26750,37200,-13370.0
0.6,0.5398773006134969,0.7058823529411765,0.6118192352259559,489,0.3470546486870121,264,225,110,810,79.2,47520.0,24450,44000,-20930.0
0.65,0.5671981776765376,0.6657754010695187,0.6125461254612546,439,0.31156848828956707,249,190,125,845,74.7,44820.0,21950,50000,-27130.0
0.7,0.6032171581769437,0.6016042780748663,0.6024096385542169,373,0.26472675656493966,225,148,149,887,67.5,40500.0,18650,59600,-37750.0
0.75,0.657439446366782,0.5080213903743316,0.5731523378582202,289,0.20511000709723207,190,99,184,936,57.0,34200.0,14450,73600,-53850.0
0.8,0.7061611374407583,0.3983957219251337,0.5094017094017094,211,0.1497515968772179,149,62,225,973,44.699999999999996,26819.999999999996,10550,90000,-73730.0
0.85,0.7372881355932204,0.232620320855615,0.35365853658536583,118,0.08374733853797019,87,31,287,1004,26.099999999999998,15659.999999999998,5900,114800,-105040.0
0.9,0.76,0.05080213903743316,0.09523809523809523,25,0.017743080198722498,19,6,355,1029,5.7,3420.0,1250,142000,-139830.0
